timestamp,value,room
1555490786,66,bathroom
1555490796,89,bathroom
1555490806,75,bathroom
1555491571,53,bedroom
1555491581,24,bedroom
1555491591,88,bathroom
1555491602,61,kitchen
1555491611,70,bedroom
1555491621,14,kitchen
1555491632,50,bathroom
1555491641,9,entrance
1555491651,83,bathroom
1555492546,96,bathroom
1555492556,73,kitchen
1555492566,5,entrance
1555492576,99,bathroom
1555492586,45,entrance
1555492596,49,bedroom
1555492606,80,kitchen
1555492616,59,entrance
1555492626,75,bedroom
1555492688,90,bathroom
1556130601,39,bathroom
1556130613,39,bathroom
1556130624,39,bathroom
1556130635,39,bathroom
1556130647,39,bathroom
1556130659,39,bathroom
1556130670,39,bathroom
1556130682,39,bathroom
1556130694,39,bathroom
1556130705,39,bathroom
1556130727,76,bathroom
1556130730,39,bathroom
1556130731,39,bathroom
1556130737,39,bathroom
1556130744,39,bathroom
1556130747,39,bathroom
1556130748,39,bathroom
1556130972,39,bathroom
1556130979,39,bathroom
1556130986,39,bathroom
1556130987,39,bathroom
1556130989,39,bathroom
1556130989,39,bathroom
1556130997,39,bathroom
